#This map is createrd by MapFileWriter
<e> cube cube cube1 100.0 -16.975307 10.0 1.0 false
<e> null grassObject grassObjAtlas 75.0 -13.9306135 0.0 2.2302213 true
<e> null grassObject grassObjAtlas 75.0 -13.9306135 0.0 2.2302213 true
<e> null grassObject grassObjAtlas 80.0 -14.350397 0.0 2.2677653 true
<e> null grassObject grassObjAtlas 80.0 -14.350397 0.0 2.2677653 true
<e> null grassObject grassObjAtlas 85.0 -14.287134 0.0 1.9053626 true
<e> null grassObject grassObjAtlas 85.0 -14.287134 0.0 1.9053626 true
<e> null grassObject grassObjAtlas 90.0 -14.244042 0.0 2.158584 true
<e> null grassObject grassObjAtlas 90.0 -14.244042 0.0 2.158584 true
<e> null grassObject grassObjAtlas 95.0 -14.983829 0.0 1.500996 true
<e> null grassObject grassObjAtlas 95.0 -14.983829 0.0 1.500996 true
<e> null grassObject grassObjAtlas 100.0 -16.818893 0.0 2.5914178 true
<e> null grassObject grassObjAtlas 100.0 -16.818893 0.0 2.5914178 true
<e> null grassObject grassObjAtlas 105.0 -16.729883 0.0 1.2756083 true
<e> null grassObject grassObjAtlas 105.0 -16.729883 0.0 1.2756083 true
<e> null grassObject grassObjAtlas 110.0 -14.932268 0.0 2.497828 true
<e> null grassObject grassObjAtlas 110.0 -14.932268 0.0 2.497828 true
<e> null grassObject grassObjAtlas 115.0 -12.308904 0.0 1.6655675 true
<e> null grassObject grassObjAtlas 115.0 -12.308904 0.0 1.6655675 true
<e> null grassObject grassObjAtlas 120.0 -10.085604 0.0 1.372137 true
<e> null grassObject grassObjAtlas 120.0 -10.085604 0.0 1.372137 true
<e> null grassObject grassObjAtlas 125.0 -9.432453 0.0 1.9402431 true
<e> null grassObject grassObjAtlas 125.0 -9.432453 0.0 1.9402431 true
<e> null grassObject grassObjAtlas 130.0 -7.384512 0.0 2.4167519 true
<e> null grassObject grassObjAtlas 130.0 -7.384512 0.0 2.4167519 true
<e> null grassObject grassObjAtlas 135.0 -4.3448954 0.0 1.3388517 true
<e> null grassObject grassObjAtlas 135.0 -4.3448954 0.0 1.3388517 true
<e> null grassObject grassObjAtlas 140.0 -1.4256834 0.0 2.4167376 true
<e> null grassObject grassObjAtlas 140.0 -1.4256834 0.0 2.4167376 true
<e> null grassObject grassObjAtlas 145.0 -0.19740218 0.0 2.0791707 true
<e> null grassObject grassObjAtlas 145.0 -0.19740218 0.0 2.0791707 true
<e> null grassObject grassObjAtlas 150.0 0.78904045 0.0 2.0846725 true
<e> null grassObject grassObjAtlas 150.0 0.78904045 0.0 2.0846725 true
<e> null grassObject grassObjAtlas 155.0 2.4770253 0.0 1.1141478 true
<e> null grassObject grassObjAtlas 155.0 2.4770253 0.0 1.1141478 true
<e> null grassObject grassObjAtlas 160.0 3.635315 0.0 2.4816775 true
<e> null grassObject grassObjAtlas 160.0 3.635315 0.0 2.4816775 true
<e> null grassObject grassObjAtlas 165.0 4.0798883 0.0 1.3250881 true
<e> null grassObject grassObjAtlas 165.0 4.0798883 0.0 1.3250881 true
<e> null grassObject grassObjAtlas 170.0 4.5903625 0.0 1.8599808 true
<e> null grassObject grassObjAtlas 170.0 4.5903625 0.0 1.8599808 true
<e> null grassObject grassObjAtlas 175.0 5.7076583 0.0 1.5518157 true
<e> null grassObject grassObjAtlas 175.0 5.7076583 0.0 1.5518157 true
<e> null grassObject grassObjAtlas 180.0 6.320283 0.0 1.9743948 true
<e> null grassObject grassObjAtlas 180.0 6.320283 0.0 1.9743948 true
<e> null grassObject grassObjAtlas 185.0 6.175252 0.0 1.699471 true
<e> null grassObject grassObjAtlas 185.0 6.175252 0.0 1.699471 true
<e> null grassObject grassObjAtlas 190.0 5.370784 0.0 1.5687348 true
<e> null grassObject grassObjAtlas 190.0 5.370784 0.0 1.5687348 true
<e> null grassObject grassObjAtlas 195.0 4.5206823 0.0 2.5132096 true
<e> null grassObject grassObjAtlas 195.0 4.5206823 0.0 2.5132096 true
<e> null grassObject grassObjAtlas 200.0 4.1898174 0.0 2.7589474 true
<e> null grassObject grassObjAtlas 200.0 4.1898174 0.0 2.7589474 true
<e> null grassObject grassObjAtlas 205.0 3.576842 0.0 1.5170155 true
<e> null grassObject grassObjAtlas 205.0 3.576842 0.0 1.5170155 true
<e> null grassObject grassObjAtlas 210.0 3.148211 0.0 2.7141292 true
<e> null grassObject grassObjAtlas 210.0 3.148211 0.0 2.7141292 true
<e> null grassObject grassObjAtlas 215.0 3.4575644 0.0 1.268392 true
<e> null grassObject grassObjAtlas 215.0 3.4575644 0.0 1.268392 true
<e> null grassObject grassObjAtlas 220.0 5.253998 0.0 2.0926268 true
<e> null grassObject grassObjAtlas 220.0 5.253998 0.0 2.0926268 true
<e> null grassObject grassObjAtlas 225.0 7.0071626 0.0 2.3403802 true
<e> null grassObject grassObjAtlas 225.0 7.0071626 0.0 2.3403802 true
<e> null grassObject grassObjAtlas 230.0 8.749844 0.0 1.7421409 true
<e> null grassObject grassObjAtlas 230.0 8.749844 0.0 1.7421409 true
<e> null grassObject grassObjAtlas 235.0 10.838721 0.0 1.3159263 true
<e> null grassObject grassObjAtlas 235.0 10.838721 0.0 1.3159263 true
<e> null grassObject grassObjAtlas 240.0 13.151888 0.0 2.2456148 true
<e> null grassObject grassObjAtlas 240.0 13.151888 0.0 2.2456148 true
<e> null grassObject grassObjAtlas 245.0 13.161764 0.0 1.2330972 true
<e> null grassObject grassObjAtlas 245.0 13.161764 0.0 1.2330972 true
<e> null grassObject grassObjAtlas 250.0 11.95472 0.0 2.9202967 true
<e> null grassObject grassObjAtlas 250.0 11.95472 0.0 2.9202967 true
<e> null grassObject grassObjAtlas 255.0 12.230837 0.0 2.175304 true
<e> null grassObject grassObjAtlas 255.0 12.230837 0.0 2.175304 true
<e> null grassObject grassObjAtlas 260.0 13.723533 0.0 2.1936269 true
<e> null grassObject grassObjAtlas 260.0 13.723533 0.0 2.1936269 true
<e> null grassObject grassObjAtlas 265.0 15.490625 0.0 1.5370253 true
<e> null grassObject grassObjAtlas 265.0 15.490625 0.0 1.5370253 true
<e> null grassObject grassObjAtlas 270.0 17.538128 0.0 1.1306512 true
<e> null grassObject grassObjAtlas 270.0 17.538128 0.0 1.1306512 true
<e> null grassObject grassObjAtlas 275.0 19.81289 0.0 2.5473297 true
<e> null grassObject grassObjAtlas 275.0 19.81289 0.0 2.5473297 true
<e> null grassObject grassObjAtlas 280.0 20.55337 0.0 2.9238975 true
<e> null grassObject grassObjAtlas 280.0 20.55337 0.0 2.9238975 true
<e> null grassObject grassObjAtlas 285.0 19.873508 0.0 1.1917477 true
<e> null grassObject grassObjAtlas 285.0 19.873508 0.0 1.1917477 true
<e> null grassObject grassObjAtlas 290.0 18.75033 0.0 1.934701 true
<e> null grassObject grassObjAtlas 290.0 18.75033 0.0 1.934701 true
<e> null grassObject grassObjAtlas 295.0 18.331861 0.0 1.1850612 true
<e> null grassObject grassObjAtlas 295.0 18.331861 0.0 1.1850612 true
<e> null grassObject grassObjAtlas 300.0 18.433895 0.0 1.3577329 true
<e> null grassObject grassObjAtlas 300.0 18.433895 0.0 1.3577329 true
<e> null grassObject grassObjAtlas 305.0 18.962406 0.0 2.2168179 true
<e> null grassObject grassObjAtlas 305.0 18.962406 0.0 2.2168179 true
<e> null grassObject grassObjAtlas 310.0 19.371824 0.0 2.6371021 true
<e> null grassObject grassObjAtlas 310.0 19.371824 0.0 2.6371021 true
<e> null grassObject grassObjAtlas 315.0 18.754473 0.0 1.5776503 true
<e> null grassObject grassObjAtlas 315.0 18.754473 0.0 1.5776503 true
<e> null grassObject grassObjAtlas 320.0 18.059912 0.0 1.6682627 true
<e> null grassObject grassObjAtlas 320.0 18.059912 0.0 1.6682627 true
<e> null grassObject grassObjAtlas 325.0 17.169495 0.0 2.393785 true
<e> null grassObject grassObjAtlas 325.0 17.169495 0.0 2.393785 true
<e> null grassObject grassObjAtlas 330.0 15.738495 0.0 1.7567017 true
<e> null grassObject grassObjAtlas 330.0 15.738495 0.0 1.7567017 true
<e> null grassObject grassObjAtlas 335.0 14.440094 0.0 2.1217155 true
<e> null grassObject grassObjAtlas 335.0 14.440094 0.0 2.1217155 true
<e> null grassObject grassObjAtlas 340.0 15.271226 0.0 2.8599048 true
<e> null grassObject grassObjAtlas 340.0 15.271226 0.0 2.8599048 true
<e> null grassObject grassObjAtlas 345.0 16.018278 0.0 2.4134378 true
<e> null grassObject grassObjAtlas 345.0 16.018278 0.0 2.4134378 true
<e> null grassObject grassObjAtlas 350.0 14.604622 0.0 1.3075287 true
<e> null grassObject grassObjAtlas 350.0 14.604622 0.0 1.3075287 true
<e> null grassObject grassObjAtlas 355.0 13.099958 0.0 2.8396275 true
<e> null grassObject grassObjAtlas 355.0 13.099958 0.0 2.8396275 true
<e> null grassObject grassObjAtlas 360.0 12.888358 0.0 1.8764486 true
<e> null grassObject grassObjAtlas 360.0 12.888358 0.0 1.8764486 true
<e> null grassObject grassObjAtlas 365.0 14.03008 0.0 2.7947268 true
<e> null grassObject grassObjAtlas 365.0 14.03008 0.0 2.7947268 true
<e> null grassObject grassObjAtlas 370.0 13.289684 0.0 2.5990376 true
<e> null grassObject grassObjAtlas 370.0 13.289684 0.0 2.5990376 true
<e> null grassObject grassObjAtlas 375.0 11.097246 0.0 2.9013643 true
<e> null grassObject grassObjAtlas 375.0 11.097246 0.0 2.9013643 true
<e> null grassObject grassObjAtlas 380.0 8.766869 0.0 2.2175562 true
<e> null grassObject grassObjAtlas 380.0 8.766869 0.0 2.2175562 true
<e> null grassObject grassObjAtlas 385.0 7.277527 0.0 2.7353349 true
<e> null grassObject grassObjAtlas 385.0 7.277527 0.0 2.7353349 true
<e> null grassObject grassObjAtlas 390.0 6.399065 0.0 1.884031 true
<e> null grassObject grassObjAtlas 390.0 6.399065 0.0 1.884031 true
<e> null grassObject grassObjAtlas 395.0 4.945194 0.0 2.2163515 true
<e> null grassObject grassObjAtlas 395.0 4.945194 0.0 2.2163515 true
<e> null grassObject grassObjAtlas 400.0 4.2704225 0.0 1.0688695 true
<e> null grassObject grassObjAtlas 400.0 4.2704225 0.0 1.0688695 true
<e> null grassObject grassObjAtlas 405.0 4.1204095 0.0 1.7198868 true
<e> null grassObject grassObjAtlas 405.0 4.1204095 0.0 1.7198868 true
<e> null grassObject grassObjAtlas 410.0 4.0151916 0.0 1.114337 true
<e> null grassObject grassObjAtlas 410.0 4.0151916 0.0 1.114337 true
<e> null grassObject grassObjAtlas 415.0 3.925866 0.0 1.1839722 true
<e> null grassObject grassObjAtlas 415.0 3.925866 0.0 1.1839722 true
<e> null grassObject grassObjAtlas 420.0 3.4634683 0.0 1.2887989 true
<e> null grassObject grassObjAtlas 420.0 3.4634683 0.0 1.2887989 true
<e> null grassObject grassObjAtlas 425.0 2.8186407 0.0 2.1903052 true
<e> null grassObject grassObjAtlas 425.0 2.8186407 0.0 2.1903052 true
<e> null grassObject grassObjAtlas 430.0 2.5699084 0.0 1.3084457 true
<e> null grassObject grassObjAtlas 430.0 2.5699084 0.0 1.3084457 true
<e> null grassObject grassObjAtlas 435.0 3.3449926 0.0 1.3262001 true
<e> null grassObject grassObjAtlas 435.0 3.3449926 0.0 1.3262001 true
<e> null grassObject grassObjAtlas 440.0 4.8846655 0.0 2.2454677 true
<e> null grassObject grassObjAtlas 440.0 4.8846655 0.0 2.2454677 true
<e> null grassObject grassObjAtlas 445.0 6.699442 0.0 1.873826 true
<e> null grassObject grassObjAtlas 445.0 6.699442 0.0 1.873826 true
<e> null grassObject grassObjAtlas 450.0 8.028181 0.0 1.5919659 true
<e> null grassObject grassObjAtlas 450.0 8.028181 0.0 1.5919659 true
<e> null grassObject grassObjAtlas 455.0 8.601426 0.0 1.9730644 true
<e> null grassObject grassObjAtlas 455.0 8.601426 0.0 1.9730644 true
<e> null grassObject grassObjAtlas 460.0 8.471629 0.0 1.4601665 true
<e> null grassObject grassObjAtlas 460.0 8.471629 0.0 1.4601665 true
<e> null grassObject grassObjAtlas 465.0 9.7252865 0.0 1.467715 true
<e> null grassObject grassObjAtlas 465.0 9.7252865 0.0 1.467715 true
<e> null grassObject grassObjAtlas 470.0 12.329048 0.0 1.8408854 true
<e> null grassObject grassObjAtlas 470.0 12.329048 0.0 1.8408854 true
<e> null grassObject grassObjAtlas 475.0 14.538448 0.0 2.4314337 true
<e> null grassObject grassObjAtlas 475.0 14.538448 0.0 2.4314337 true
<e> null grassObject grassObjAtlas 480.0 15.309971 0.0 1.2890735 true
<e> null grassObject grassObjAtlas 480.0 15.309971 0.0 1.2890735 true
<e> null grassObject grassObjAtlas 485.0 14.060859 0.0 1.2957337 true
<e> null grassObject grassObjAtlas 485.0 14.060859 0.0 1.2957337 true
<e> null grassObject grassObjAtlas 490.0 11.306225 0.0 1.0392756 true
<e> null grassObject grassObjAtlas 490.0 11.306225 0.0 1.0392756 true
<e> null grassObject grassObjAtlas 495.0 8.269425 0.0 1.1398616 true
<e> null grassObject grassObjAtlas 495.0 8.269425 0.0 1.1398616 true
<e> null grassObject grassObjAtlas 500.0 5.8614807 0.0 1.4628775 true
<e> null grassObject grassObjAtlas 500.0 5.8614807 0.0 1.4628775 true
<e> null grassObject grassObjAtlas 505.0 4.6842117 0.0 1.2799233 true
<e> null grassObject grassObjAtlas 505.0 4.6842117 0.0 1.2799233 true
<e> null grassObject grassObjAtlas 510.0 5.0556135 0.0 2.9572098 true
<e> null grassObject grassObjAtlas 510.0 5.0556135 0.0 2.9572098 true
<e> null grassObject grassObjAtlas 515.0 5.977235 0.0 1.1970079 true
<e> null grassObject grassObjAtlas 515.0 5.977235 0.0 1.1970079 true
<e> null grassObject grassObjAtlas 520.0 7.5279503 0.0 1.2043376 true
<e> null grassObject grassObjAtlas 520.0 7.5279503 0.0 1.2043376 true
<e> null grassObject grassObjAtlas 525.0 8.779111 0.0 2.112288 true
<e> null grassObject grassObjAtlas 525.0 8.779111 0.0 2.112288 true
<e> null grassObject grassObjAtlas 530.0 9.197717 0.0 1.5613117 true
<e> null grassObject grassObjAtlas 530.0 9.197717 0.0 1.5613117 true
<e> null grassObject grassObjAtlas 535.0 9.180698 0.0 1.3484135 true
<e> null grassObject grassObjAtlas 535.0 9.180698 0.0 1.3484135 true
<e> null grassObject grassObjAtlas 540.0 11.112019 0.0 1.8567014 true
<e> null grassObject grassObjAtlas 540.0 11.112019 0.0 1.8567014 true
<e> null grassObject grassObjAtlas 545.0 12.61043 0.0 1.864475 true
<e> null grassObject grassObjAtlas 545.0 12.61043 0.0 1.864475 true
<e> null grassObject grassObjAtlas 550.0 13.170357 0.0 2.689489 true
<e> null grassObject grassObjAtlas 550.0 13.170357 0.0 2.689489 true
<e> null grassObject grassObjAtlas 555.0 12.737911 0.0 1.0261704 true
<e> null grassObject grassObjAtlas 555.0 12.737911 0.0 1.0261704 true
<e> null grassObject grassObjAtlas 560.0 11.973164 0.0 2.4812956 true
<e> null grassObject grassObjAtlas 560.0 11.973164 0.0 2.4812956 true
<e> null grassObject grassObjAtlas 565.0 11.690246 0.0 1.4395682 true
<e> null grassObject grassObjAtlas 565.0 11.690246 0.0 1.4395682 true
<e> null grassObject grassObjAtlas 570.0 11.006891 0.0 1.9530475 true
<e> null grassObject grassObjAtlas 570.0 11.006891 0.0 1.9530475 true
<e> null grassObject grassObjAtlas 575.0 9.474324 0.0 1.3582983 true
<e> null grassObject grassObjAtlas 575.0 9.474324 0.0 1.3582983 true
<e> null grassObject grassObjAtlas 580.0 6.9965596 0.0 2.720489 true
<e> null grassObject grassObjAtlas 580.0 6.9965596 0.0 2.720489 true
<e> null grassObject grassObjAtlas 585.0 5.1355276 0.0 2.2486205 true
<e> null grassObject grassObjAtlas 585.0 5.1355276 0.0 2.2486205 true
<e> null grassObject grassObjAtlas 590.0 4.143979 0.0 1.5735228 true
<e> null grassObject grassObjAtlas 590.0 4.143979 0.0 1.5735228 true
<e> null grassObject grassObjAtlas 595.0 3.7379813 0.0 1.1994015 true
<e> null grassObject grassObjAtlas 595.0 3.7379813 0.0 1.1994015 true
<e> null grassObject grassObjAtlas 600.0 3.629941 0.0 1.37263 true
<e> null grassObject grassObjAtlas 600.0 3.629941 0.0 1.37263 true
<e> null grassObject grassObjAtlas 605.0 3.600144 0.0 2.285575 true
<e> null grassObject grassObjAtlas 605.0 3.600144 0.0 2.285575 true
<e> null grassObject grassObjAtlas 610.0 5.2011447 0.0 2.9182053 true
<e> null grassObject grassObjAtlas 610.0 5.2011447 0.0 2.9182053 true
<e> null grassObject grassObjAtlas 615.0 7.6197515 0.0 2.1814456 true
<e> null grassObject grassObjAtlas 615.0 7.6197515 0.0 2.1814456 true
<e> null grassObject grassObjAtlas 620.0 8.836897 0.0 1.5884315 true
<e> null grassObject grassObjAtlas 620.0 8.836897 0.0 1.5884315 true
<e> null grassObject grassObjAtlas 625.0 8.512396 0.0 2.3777287 true
<e> null grassObject grassObjAtlas 625.0 8.512396 0.0 2.3777287 true
<e> null grassObject grassObjAtlas 630.0 7.36137 0.0 2.8674781 true
<e> null grassObject grassObjAtlas 630.0 7.36137 0.0 2.8674781 true
<e> null grassObject grassObjAtlas 635.0 6.5651765 0.0 1.5432625 true
<e> null grassObject grassObjAtlas 635.0 6.5651765 0.0 1.5432625 true
<e> null grassObject grassObjAtlas 640.0 5.7559576 0.0 2.3736916 true
<e> null grassObject grassObjAtlas 640.0 5.7559576 0.0 2.3736916 true
<e> null grassObject grassObjAtlas 645.0 4.9975185 0.0 2.8049245 true
<e> null grassObject grassObjAtlas 645.0 4.9975185 0.0 2.8049245 true
<e> null grassObject grassObjAtlas 650.0 4.0982323 0.0 2.8287253 true
<e> null grassObject grassObjAtlas 650.0 4.0982323 0.0 2.8287253 true
<e> null grassObject grassObjAtlas 655.0 2.5629468 0.0 2.0696502 true
<e> null grassObject grassObjAtlas 655.0 2.5629468 0.0 2.0696502 true
<e> null grassObject grassObjAtlas 660.0 0.9218571 0.0 1.171107 true
<e> null grassObject grassObjAtlas 660.0 0.9218571 0.0 1.171107 true
<e> null grassObject grassObjAtlas 665.0 0.37459177 0.0 1.7091527 true
<e> null grassObject grassObjAtlas 665.0 0.37459177 0.0 1.7091527 true
<e> null grassObject grassObjAtlas 670.0 0.9502182 0.0 1.2057076 true
<e> null grassObject grassObjAtlas 670.0 0.9502182 0.0 1.2057076 true
<e> null grassObject grassObjAtlas 675.0 2.5180407 0.0 2.855713 true
<e> null grassObject grassObjAtlas 675.0 2.5180407 0.0 2.855713 true
<e> null grassObject grassObjAtlas 680.0 4.7889905 0.0 1.69434 true
<e> null grassObject grassObjAtlas 680.0 4.7889905 0.0 1.69434 true
<e> null grassObject grassObjAtlas 685.0 7.2780094 0.0 2.7572784 true
<e> null grassObject grassObjAtlas 685.0 7.2780094 0.0 2.7572784 true
<e> null grassObject grassObjAtlas 690.0 9.652459 0.0 1.4389486 true
<e> null grassObject grassObjAtlas 690.0 9.652459 0.0 1.4389486 true
<e> null grassObject grassObjAtlas 695.0 10.863481 0.0 2.809334 true
<e> null grassObject grassObjAtlas 695.0 10.863481 0.0 2.809334 true
<e> null grassObject grassObjAtlas 700.0 10.165086 0.0 2.900384 true
<e> null grassObject grassObjAtlas 700.0 10.165086 0.0 2.900384 true
<e> null grassObject grassObjAtlas 705.0 7.4816484 0.0 2.373113 true
<e> null grassObject grassObjAtlas 705.0 7.4816484 0.0 2.373113 true
<e> null grassObject grassObjAtlas 710.0 5.9788933 0.0 2.3518095 true
<e> null grassObject grassObjAtlas 710.0 5.9788933 0.0 2.3518095 true
<e> null grassObject grassObjAtlas 715.0 5.8991528 0.0 2.8144608 true
<e> null grassObject grassObjAtlas 715.0 5.8991528 0.0 2.8144608 true
<e> null grassObject grassObjAtlas 720.0 7.3744717 0.0 1.0116699 true
<e> null grassObject grassObjAtlas 720.0 7.3744717 0.0 1.0116699 true
<e> null grassObject grassObjAtlas 725.0 10.112111 0.0 2.52107 true
<e> null grassObject grassObjAtlas 725.0 10.112111 0.0 2.52107 true
<e> null grassObject grassObjAtlas 730.0 12.15661 0.0 1.4685729 true
<e> null grassObject grassObjAtlas 730.0 12.15661 0.0 1.4685729 true
<e> null grassObject grassObjAtlas 735.0 11.7069235 0.0 2.3001246 true
<e> null grassObject grassObjAtlas 735.0 11.7069235 0.0 2.3001246 true
<e> null grassObject grassObjAtlas 740.0 11.069126 0.0 2.8372355 true
<e> null grassObject grassObjAtlas 740.0 11.069126 0.0 2.8372355 true
<e> null grassObject grassObjAtlas 745.0 10.537691 0.0 1.5021597 true
<e> null grassObject grassObjAtlas 745.0 10.537691 0.0 1.5021597 true
<e> null grassObject grassObjAtlas 750.0 9.813475 0.0 1.2149972 true
<e> null grassObject grassObjAtlas 750.0 9.813475 0.0 1.2149972 true
<e> null grassObject grassObjAtlas 755.0 7.834691 0.0 1.5949073 true
<e> null grassObject grassObjAtlas 755.0 7.834691 0.0 1.5949073 true
<e> null grassObject grassObjAtlas 760.0 5.4931946 0.0 1.292683 true
<e> null grassObject grassObjAtlas 760.0 5.4931946 0.0 1.292683 true
<e> null grassObject grassObjAtlas 765.0 3.58181 0.0 2.5140924 true
<e> null grassObject grassObjAtlas 765.0 3.58181 0.0 2.5140924 true
<e> null grassObject grassObjAtlas 770.0 2.7932692 0.0 2.4684458 true
<e> null grassObject grassObjAtlas 770.0 2.7932692 0.0 2.4684458 true
<e> null grassObject grassObjAtlas 775.0 3.6729426 0.0 2.893808 true
<e> null grassObject grassObjAtlas 775.0 3.6729426 0.0 2.893808 true
<e> null grassObject grassObjAtlas 780.0 4.0922766 0.0 2.9815323 true
<e> null grassObject grassObjAtlas 780.0 4.0922766 0.0 2.9815323 true
<e> null grassObject grassObjAtlas 785.0 2.5486753 0.0 1.8307763 true
<e> null grassObject grassObjAtlas 785.0 2.5486753 0.0 1.8307763 true
<e> null grassObject grassObjAtlas 790.0 1.0897719 0.0 1.7938313 true
<e> null grassObject grassObjAtlas 790.0 1.0897719 0.0 1.7938313 true
<e> null grassObject grassObjAtlas 795.0 0.5562624 0.0 1.9242494 true
<e> null grassObject grassObjAtlas 795.0 0.5562624 0.0 1.9242494 true
<e> null grassObject grassObjAtlas 0.0 9.319361 5.0 2.9759684 true
<e> null grassObject grassObjAtlas 0.0 9.319361 5.0 2.9759684 true
<e> null grassObject grassObjAtlas 5.0 6.982369 5.0 1.3725096 true
<e> null grassObject grassObjAtlas 5.0 6.982369 5.0 1.3725096 true
<e> null grassObject grassObjAtlas 10.0 4.240817 5.0 1.8832576 true
<e> null grassObject grassObjAtlas 10.0 4.240817 5.0 1.8832576 true
<e> null grassObject grassObjAtlas 15.0 1.4998429 5.0 1.4702187 true
<e> null grassObject grassObjAtlas 15.0 1.4998429 5.0 1.4702187 true
<e> null grassObject grassObjAtlas 20.0 -1.5637629 5.0 1.5228784 true
<e> null grassObject grassObjAtlas 20.0 -1.5637629 5.0 1.5228784 true
<e> null grassObject grassObjAtlas 25.0 -3.7981102 5.0 2.166687 true
<e> null grassObject grassObjAtlas 25.0 -3.7981102 5.0 2.166687 true
<e> null grassObject grassObjAtlas 30.0 -5.307571 5.0 1.2113876 true
<e> null grassObject grassObjAtlas 30.0 -5.307571 5.0 1.2113876 true
<e> null grassObject grassObjAtlas 35.0 -6.558577 5.0 2.7983003 true
<e> null grassObject grassObjAtlas 35.0 -6.558577 5.0 2.7983003 true
<e> null grassObject grassObjAtlas 40.0 -8.553581 5.0 1.3014553 true
<e> null grassObject grassObjAtlas 40.0 -8.553581 5.0 1.3014553 true
<e> null grassObject grassObjAtlas 45.0 -10.8914995 5.0 1.7398503 true
<e> null grassObject grassObjAtlas 45.0 -10.8914995 5.0 1.7398503 true
<e> null grassObject grassObjAtlas 50.0 -13.215118 5.0 2.725196 true
<e> null grassObject grassObjAtlas 50.0 -13.215118 5.0 2.725196 true
<e> null grassObject grassObjAtlas 55.0 -13.691645 5.0 1.7266345 true
<e> null grassObject grassObjAtlas 55.0 -13.691645 5.0 1.7266345 true
<e> null grassObject grassObjAtlas 60.0 -13.290343 5.0 2.0715451 true
<e> null grassObject grassObjAtlas 60.0 -13.290343 5.0 2.0715451 true
<e> null grassObject grassObjAtlas 65.0 -12.741412 5.0 1.8354312 true
<e> null grassObject grassObjAtlas 65.0 -12.741412 5.0 1.8354312 true
<e> null grassObject grassObjAtlas 70.0 -12.805084 5.0 2.5059156 true
<e> null grassObject grassObjAtlas 70.0 -12.805084 5.0 2.5059156 true
<e> null grassObject grassObjAtlas 75.0 -12.877004 5.0 2.5875936 true
<e> null grassObject grassObjAtlas 75.0 -12.877004 5.0 2.5875936 true
<e> null grassObject grassObjAtlas 80.0 -13.452145 5.0 2.0772972 true
<e> null grassObject grassObjAtlas 80.0 -13.452145 5.0 2.0772972 true
<e> null grassObject grassObjAtlas 85.0 -13.890619 5.0 1.0175531 true
<e> null grassObject grassObjAtlas 85.0 -13.890619 5.0 1.0175531 true
<e> null grassObject grassObjAtlas 90.0 -14.704229 5.0 1.772624 true
<e> null grassObject grassObjAtlas 90.0 -14.704229 5.0 1.772624 true
<e> null grassObject grassObjAtlas 95.0 -16.177223 5.0 1.6572309 true
