#This map is createrd by MapFileWriter
<e> cube cube cube1 100.0 3.4663596 10.0 1.0 false
<e> null grassObject grassObjAtlas 500.0 50.318176 0.0 2.6445065 true
<e> null grassObject grassObjAtlas 500.0 50.318176 0.0 2.6445065 true
<e> null grassObject grassObjAtlas 505.0 51.424023 0.0 1.9375196 true
<e> null grassObject grassObjAtlas 505.0 51.424023 0.0 1.9375196 true
<e> null grassObject grassObjAtlas 510.0 52.843765 0.0 2.8371313 true
<e> null grassObject grassObjAtlas 510.0 52.843765 0.0 2.8371313 true
<e> null grassObject grassObjAtlas 515.0 55.393555 0.0 1.1555088 true
<e> null grassObject grassObjAtlas 515.0 55.393555 0.0 1.1555088 true
<e> null grassObject grassObjAtlas 520.0 56.485733 0.0 2.5423007 true
<e> null grassObject grassObjAtlas 520.0 56.485733 0.0 2.5423007 true
<e> null grassObject grassObjAtlas 525.0 56.25422 0.0 2.6283746 true
<e> null grassObject grassObjAtlas 525.0 56.25422 0.0 2.6283746 true
<e> null grassObject grassObjAtlas 530.0 54.954296 0.0 2.9379213 true
<e> null grassObject grassObjAtlas 530.0 54.954296 0.0 2.9379213 true
<e> null grassObject grassObjAtlas 535.0 52.634262 0.0 1.3172737 true
<e> null grassObject grassObjAtlas 535.0 52.634262 0.0 1.3172737 true
<e> null grassObject grassObjAtlas 540.0 50.344456 0.0 1.1851629 true
<e> null grassObject grassObjAtlas 540.0 50.344456 0.0 1.1851629 true
<e> null grassObject grassObjAtlas 545.0 49.709557 0.0 2.2757764 true
<e> null grassObject grassObjAtlas 545.0 49.709557 0.0 2.2757764 true
<e> null grassObject grassObjAtlas 550.0 49.818096 0.0 2.89296 true
<e> null grassObject grassObjAtlas 550.0 49.818096 0.0 2.89296 true
<e> null grassObject grassObjAtlas 555.0 49.738995 0.0 1.0306903 true
<e> null grassObject grassObjAtlas 555.0 49.738995 0.0 1.0306903 true
<e> null grassObject grassObjAtlas 560.0 49.764465 0.0 1.4620836 true
<e> null grassObject grassObjAtlas 560.0 49.764465 0.0 1.4620836 true
<e> null grassObject grassObjAtlas 565.0 49.90485 0.0 2.698815 true
<e> null grassObject grassObjAtlas 565.0 49.90485 0.0 2.698815 true
<e> null grassObject grassObjAtlas 570.0 48.523262 0.0 2.8714213 true
<e> null grassObject grassObjAtlas 570.0 48.523262 0.0 2.8714213 true
<e> null grassObject grassObjAtlas 575.0 46.18427 0.0 2.279545 true
<e> null grassObject grassObjAtlas 575.0 46.18427 0.0 2.279545 true
<e> null grassObject grassObjAtlas 580.0 43.919292 0.0 1.2905883 true
<e> null grassObject grassObjAtlas 580.0 43.919292 0.0 1.2905883 true
<e> null grassObject grassObjAtlas 585.0 42.20482 0.0 1.8069016 true
<e> null grassObject grassObjAtlas 585.0 42.20482 0.0 1.8069016 true
<e> null grassObject grassObjAtlas 590.0 41.6604 0.0 1.2568202 true
<e> null grassObject grassObjAtlas 590.0 41.6604 0.0 1.2568202 true
<e> null grassObject grassObjAtlas 595.0 42.8049 0.0 2.9973388 true
<e> null grassObject grassObjAtlas 595.0 42.8049 0.0 2.9973388 true
<e> null grassObject grassObjAtlas 600.0 44.608795 0.0 1.2765999 true
<e> null grassObject grassObjAtlas 600.0 44.608795 0.0 1.2765999 true
<e> null grassObject grassObjAtlas 605.0 45.465176 0.0 1.505995 true
<e> null grassObject grassObjAtlas 605.0 45.465176 0.0 1.505995 true
<e> null grassObject grassObjAtlas 610.0 45.68104 0.0 2.1212373 true
<e> null grassObject grassObjAtlas 610.0 45.68104 0.0 2.1212373 true
<e> null grassObject grassObjAtlas 615.0 46.894688 0.0 2.249648 true
<e> null grassObject grassObjAtlas 615.0 46.894688 0.0 2.249648 true
<e> null grassObject grassObjAtlas 620.0 48.74183 0.0 1.0794566 true
<e> null grassObject grassObjAtlas 620.0 48.74183 0.0 1.0794566 true
<e> null grassObject grassObjAtlas 625.0 50.564667 0.0 2.8464415 true
<e> null grassObject grassObjAtlas 625.0 50.564667 0.0 2.8464415 true
<e> null grassObject grassObjAtlas 630.0 51.439537 0.0 1.5890558 true
<e> null grassObject grassObjAtlas 630.0 51.439537 0.0 1.5890558 true
<e> null grassObject grassObjAtlas 635.0 50.74421 0.0 1.9686697 true
<e> null grassObject grassObjAtlas 635.0 50.74421 0.0 1.9686697 true
<e> null grassObject grassObjAtlas 640.0 49.427452 0.0 1.3551936 true
<e> null grassObject grassObjAtlas 640.0 49.427452 0.0 1.3551936 true
<e> null grassObject grassObjAtlas 645.0 46.861748 0.0 1.2450018 true
<e> null grassObject grassObjAtlas 645.0 46.861748 0.0 1.2450018 true
<e> null grassObject grassObjAtlas 650.0 43.319458 0.0 1.9174204 true
<e> null grassObject grassObjAtlas 650.0 43.319458 0.0 1.9174204 true
<e> null grassObject grassObjAtlas 655.0 40.062714 0.0 1.7532028 true
<e> null grassObject grassObjAtlas 655.0 40.062714 0.0 1.7532028 true
<e> null grassObject grassObjAtlas 660.0 37.4186 0.0 1.0750262 true
<e> null grassObject grassObjAtlas 660.0 37.4186 0.0 1.0750262 true
<e> null grassObject grassObjAtlas 665.0 35.4141 0.0 2.615604 true
<e> null grassObject grassObjAtlas 665.0 35.4141 0.0 2.615604 true
<e> null grassObject grassObjAtlas 670.0 33.706013 0.0 1.3257085 true
<e> null grassObject grassObjAtlas 670.0 33.706013 0.0 1.3257085 true
<e> null grassObject grassObjAtlas 675.0 31.689148 0.0 2.7805047 true
<e> null grassObject grassObjAtlas 675.0 31.689148 0.0 2.7805047 true
<e> null grassObject grassObjAtlas 680.0 28.173527 0.0 2.0022964 true
<e> null grassObject grassObjAtlas 680.0 28.173527 0.0 2.0022964 true
<e> null grassObject grassObjAtlas 685.0 25.746521 0.0 2.8078063 true
<e> null grassObject grassObjAtlas 685.0 25.746521 0.0 2.8078063 true
<e> null grassObject grassObjAtlas 690.0 23.974007 0.0 2.8738744 true
<e> null grassObject grassObjAtlas 690.0 23.974007 0.0 2.8738744 true
<e> null grassObject grassObjAtlas 695.0 22.271631 0.0 2.9721797 true
<e> null grassObject grassObjAtlas 695.0 22.271631 0.0 2.9721797 true
<e> null grassObject grassObjAtlas 700.0 20.557697 0.0 1.1599762 true
<e> null grassObject grassObjAtlas 700.0 20.557697 0.0 1.1599762 true
<e> null grassObject grassObjAtlas 705.0 20.328056 0.0 1.8789101 true
<e> null grassObject grassObjAtlas 705.0 20.328056 0.0 1.8789101 true
<e> null grassObject grassObjAtlas 710.0 20.344637 0.0 1.0196153 true
<e> null grassObject grassObjAtlas 710.0 20.344637 0.0 1.0196153 true
<e> null grassObject grassObjAtlas 715.0 18.813942 0.0 2.2144525 true
<e> null grassObject grassObjAtlas 715.0 18.813942 0.0 2.2144525 true
<e> null grassObject grassObjAtlas 720.0 16.245268 0.0 2.2321491 true
<e> null grassObject grassObjAtlas 720.0 16.245268 0.0 2.2321491 true
<e> null grassObject grassObjAtlas 725.0 13.609866 0.0 1.415117 true
<e> null grassObject grassObjAtlas 725.0 13.609866 0.0 1.415117 true
<e> null grassObject grassObjAtlas 730.0 12.237691 0.0 1.8768778 true
<e> null grassObject grassObjAtlas 730.0 12.237691 0.0 1.8768778 true
<e> null grassObject grassObjAtlas 735.0 10.678969 0.0 1.6538815 true
<e> null grassObject grassObjAtlas 735.0 10.678969 0.0 1.6538815 true
<e> null grassObject grassObjAtlas 740.0 8.600217 0.0 2.0167158 true
<e> null grassObject grassObjAtlas 740.0 8.600217 0.0 2.0167158 true
<e> null grassObject grassObjAtlas 745.0 5.86832 0.0 1.3690765 true
<e> null grassObject grassObjAtlas 745.0 5.86832 0.0 1.3690765 true
<e> null grassObject grassObjAtlas 750.0 2.5807142 0.0 2.6533065 true
<e> null grassObject grassObjAtlas 750.0 2.5807142 0.0 2.6533065 true
<e> null grassObject grassObjAtlas 755.0 0.21593003 0.0 2.8727741 true
<e> null grassObject grassObjAtlas 755.0 0.21593003 0.0 2.8727741 true
<e> null grassObject grassObjAtlas 760.0 -0.48854774 0.0 2.2829032 true
<e> null grassObject grassObjAtlas 760.0 -0.48854774 0.0 2.2829032 true
<e> null grassObject grassObjAtlas 765.0 -0.25259334 0.0 2.6956205 true
<e> null grassObject grassObjAtlas 765.0 -0.25259334 0.0 2.6956205 true
<e> null grassObject grassObjAtlas 770.0 0.576429 0.0 1.2618123 true
<e> null grassObject grassObjAtlas 770.0 0.576429 0.0 1.2618123 true
<e> null grassObject grassObjAtlas 775.0 1.6839908 0.0 1.0942681 true
<e> null grassObject grassObjAtlas 775.0 1.6839908 0.0 1.0942681 true
<e> null grassObject grassObjAtlas 780.0 1.5345228 0.0 2.6859798 true
<e> null grassObject grassObjAtlas 780.0 1.5345228 0.0 2.6859798 true
<e> null grassObject grassObjAtlas 785.0 2.0233426 0.0 1.444443 true
<e> null grassObject grassObjAtlas 785.0 2.0233426 0.0 1.444443 true
<e> null grassObject grassObjAtlas 790.0 3.2520075 0.0 2.681518 true
<e> null grassObject grassObjAtlas 790.0 3.2520075 0.0 2.681518 true
<e> null grassObject grassObjAtlas 795.0 4.34247 0.0 1.475243 true
<e> null grassObject grassObjAtlas 795.0 4.34247 0.0 1.475243 true
<e> null grassObject grassObjAtlas 0.0 8.366754 5.0 2.752913 true
<e> null grassObject grassObjAtlas 0.0 8.366754 5.0 2.752913 true
<e> null grassObject grassObjAtlas 5.0 7.2926826 5.0 2.9079227 true
<e> null grassObject grassObjAtlas 5.0 7.2926826 5.0 2.9079227 true
<e> null grassObject grassObjAtlas 10.0 6.374015 5.0 2.2859135 true
<e> null grassObject grassObjAtlas 10.0 6.374015 5.0 2.2859135 true
<e> null grassObject grassObjAtlas 15.0 5.684851 5.0 1.0159336 true
<e> null grassObject grassObjAtlas 15.0 5.684851 5.0 1.0159336 true
<e> null grassObject grassObjAtlas 20.0 5.2540665 5.0 2.3765235 true
<e> null grassObject grassObjAtlas 20.0 5.2540665 5.0 2.3765235 true
<e> null grassObject grassObjAtlas 25.0 5.310083 5.0 2.9242554 true
<e> null grassObject grassObjAtlas 25.0 5.310083 5.0 2.9242554 true
<e> null grassObject grassObjAtlas 30.0 5.3293295 5.0 2.0611336 true
<e> null grassObject grassObjAtlas 30.0 5.3293295 5.0 2.0611336 true
<e> null grassObject grassObjAtlas 35.0 3.9008882 5.0 2.6483173 true
<e> null grassObject grassObjAtlas 35.0 3.9008882 5.0 2.6483173 true
<e> null grassObject grassObjAtlas 40.0 2.4154935 5.0 2.742035 true
<e> null grassObject grassObjAtlas 40.0 2.4154935 5.0 2.742035 true
<e> null grassObject grassObjAtlas 45.0 2.1317327 5.0 1.5005016 true
<e> null grassObject grassObjAtlas 45.0 2.1317327 5.0 1.5005016 true
<e> null grassObject grassObjAtlas 50.0 3.2130616 5.0 1.4048527 true
<e> null grassObject grassObjAtlas 50.0 3.2130616 5.0 1.4048527 true
<e> null grassObject grassObjAtlas 55.0 3.4615023 5.0 2.66105 true
<e> null grassObject grassObjAtlas 55.0 3.4615023 5.0 2.66105 true
<e> null grassObject grassObjAtlas 60.0 3.686135 5.0 1.1587268 true
<e> null grassObject grassObjAtlas 60.0 3.686135 5.0 1.1587268 true
<e> null grassObject grassObjAtlas 65.0 3.455348 5.0 1.5471177 true
<e> null grassObject grassObjAtlas 65.0 3.455348 5.0 1.5471177 true
<e> null grassObject grassObjAtlas 70.0 3.1771119 5.0 2.02636 true
<e> null grassObject grassObjAtlas 70.0 3.1771119 5.0 2.02636 true
<e> null grassObject grassObjAtlas 75.0 2.245932 5.0 1.776933 true
<e> null grassObject grassObjAtlas 75.0 2.245932 5.0 1.776933 true
<e> null grassObject grassObjAtlas 80.0 0.7695122 5.0 1.880743 true
<e> null grassObject grassObjAtlas 80.0 0.7695122 5.0 1.880743 true
<e> null grassObject grassObjAtlas 85.0 -0.23102494 5.0 2.7049875 true
<e> null grassObject grassObjAtlas 85.0 -0.23102494 5.0 2.7049875 true
<e> null grassObject grassObjAtlas 90.0 -0.25331464 5.0 2.3609657 true
<e> null grassObject grassObjAtlas 90.0 -0.25331464 5.0 2.3609657 true
<e> null grassObject grassObjAtlas 95.0 1.5151191 5.0 1.9195881 true
<e> null grassObject grassObjAtlas 95.0 1.5151191 5.0 1.9195881 true
<e> null grassObject grassObjAtlas 100.0 2.3762171 5.0 2.6749249 true
<e> null grassObject grassObjAtlas 100.0 2.3762171 5.0 2.6749249 true
